song_name|song_popularity|song_duration_ms|acousticness|danceability|energy|instrumentalness|key|liveness|loudness|audio_mode|speechiness|tempo|time_signature|audio_valence
Sugar, We're Goin Down|79|229093|0.00898|0.499|0.8240000000000001|0.0|7|0.163|-4.7410000000000005|1|0.0794|161.977|4|0.6990000000000001
Last Nite|70|193373|0.0223|0.624|0.899|0.000155|0|0.0975|-5.71|1|0.0295|104.055|4|0.797
Through Glass|60|282946|0.0417|0.545|0.753|0.0|3|0.389|-4.618|0|0.036000000000000004|105.75399999999999|4|0.434
The Diary of Jane - Single Version|69|200546|5.5299999999999996e-05|0.374|0.961|0.0834|10|0.138|-4.421|0|0.0851|167.032|4|0.35700000000000004
Down With the Sickness|73|279213|0.0009960000000000001|0.695|0.8759999999999999|6.89e-06|3|0.106|-4.262|0|0.0553|89.954|4|0.941
Wish You Were Here|62|212733|0.0006309999999999999|0.24600000000000002|0.768|0.301|9|0.102|-7.48|1|0.0387|169.873|4|0.35
Youth Of The Nation|72|256240|0.00834|0.563|0.86|0.0106|8|0.39|-7.5329999999999995|1|0.0621|97.867|4|0.517
Vertigo|57|194520|0.000153|0.391|0.831|0.0019199999999999998|2|0.141|-3.892|1|0.0613|139.946|4|0.6829999999999999
Miss Murder|71|206586|0.000213|0.309|0.875|0.00168|1|0.113|-4.49|1|0.0488|143.526|4|0.725
I Bet You Look Good On The Dancefloor|63|173680|0.00225|0.535|0.948|0.0|6|0.376|-4.19|0|0.0356|103.18299999999999|4|0.778
Steady, As She Goes|64|215266|0.0132|0.524|0.578|0.00921|9|0.10800000000000001|-4.563|1|0.12|123.669|4|0.537
Falling Away from Me|71|270920|0.00014|0.46799999999999997|0.769|0.00124|4|0.271|-7.0360000000000005|1|0.040999999999999995|104.102|4|0.17
Crawling In The Dark|61|175026|0.000295|0.5920000000000001|0.932|7.59e-05|6|0.138|-4.4910000000000005|0|0.0885|93.675|4|0.698
I Stand Alone|67|246040|4.7799999999999996e-05|0.213|0.93|0.0|0|0.126|-4.478|1|0.0671|169.22099999999998|4|0.386
Woman|63|176306|5.1e-05|0.21899999999999997|0.9520000000000001|0.0989|2|0.157|-3.6210000000000004|1|0.17600000000000002|112.88600000000001|1|0.172
Show Me How to Live|72|277840|0.000336|0.433|0.8540000000000001|0.000177|9|0.162|-3.8680000000000003|1|0.0483|89.4|4|0.368
The Red|71|238400|0.000671|0.509|0.843|0.0008029999999999999|1|0.348|-3.318|0|0.0488|140.055|3|0.332
Remedy|70|207213|0.00018|0.546|0.9590000000000001|0.00144|8|0.0584|-4.664|1|0.08199999999999999|127.831|4|0.41600000000000004
Plug In Baby|65|218000|6.94e-06|0.408|0.965|0.00040199999999999996|2|0.11|-4.232|1|0.05|136.018|4|0.349
Change (In the House of Flies) - In The House Of Flies LP Version|69|299533|0.00024900000000000004|0.26899999999999996|0.853|0.000246|7|0.11800000000000001|-4.647|0|0.0854|141.58100000000002|4|0.179
Judith|66|247266|3.32e-05|0.365|0.894|0.171|11|0.267|-4.6819999999999995|0|0.0572|82.305|3|0.31
MIA (feat. Drake)|94|210367|0.0143|0.818|0.54|0.000512|6|0.099|-6.35|0|0.0544|97.064|4|0.174
Taki Taki (with Selena Gomez, Ozuna & Cardi B)|98|212500|0.153|0.841|0.7979999999999999|3.33e-06|1|0.0618|-4.206|0|0.22899999999999998|95.948|4|0.591
White Boi|59|185282|0.0983|0.83|0.49700000000000005|0.0|1|0.0906|-6.94|1|0.052000000000000005|127.965|4|0.634
Just Wanna Love You (feat. J. Balvin)|73|199230|0.0557|0.687|0.7659999999999999|0.00107|11|0.146|-6.08|1|0.054000000000000006|94.973|4|0.303
Beautiful (feat. Camila Cabello)|94|180000|0.34600000000000003|0.638|0.7170000000000001|0.0|2|0.105|-4.7219999999999995|1|0.0337|100.027|4|0.249
Celoso|87|179693|0.35200000000000004|0.746|0.703|0.0|4|0.331|-4.178999999999999|0|0.107|166.043|4|0.667
Good Vibes|73|235720|0.0348|0.823|0.63|6.72e-06|7|0.0964|-3.932|1|0.0797|100.04|4|0.184
Real Friends|85|223583|0.235|0.701|0.512|5.07e-06|0|0.135|-6.869|0|0.0969|91.947|4|0.6629999999999999
Pa La Calle|61|243487|0.11699999999999999|0.695|0.884|0.0|0|0.10400000000000001|-6.279|1|0.131|74.992|4|0.8540000000000001
Pa Mí|58|210865|0.716|0.722|0.584|0.000321|11|0.115|-8.467|0|0.318|169.97799999999998|4|0.6459999999999999
Wake Up in the Sky|92|204664|0.00381|0.8|0.578|0.0|4|0.359|-5.144|0|0.0485|143.01|4|0.36700000000000005
Está Rico|83|215151|0.266|0.8170000000000001|0.74|0.0|11|0.0992|-4.566|0|0.28300000000000003|130.04|4|0.674
Banana Clip - Spanish Version|57|202373|0.107|0.39799999999999996|0.66|0.0|1|0.121|-5.626|0|0.12|83.82799999999999|4|0.7190000000000001
YAKWTFGO (feat. Kali Uchis)|44|162733|0.0039700000000000004|0.812|0.748|0.0|5|0.174|-5.959|0|0.139|132.035|4|0.158
Come With Me|47|157461|0.0526|0.659|0.7340000000000001|2.48e-06|10|0.242|-4.008|1|0.046|161.971|4|0.34600000000000003
Como Si Na|54|170997|0.23199999999999998|0.705|0.778|0.0|9|0.244|-4.101|0|0.177|160.099|4|0.7090000000000001
Blah|47|188440|0.0255|0.723|0.687|0.000207|11|0.124|-4.632|0|0.2|173.747|4|0.777
Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam)|64|253714|0.0257|0.9279999999999999|0.402|0.0|8|0.0804|-7.569|0|0.451|139.998|4|0.62
Mi Infinita|56|272000|0.902|0.465|0.675|0.267|10|0.11|-7.555|1|0.0485|119.941|4|0.129
Coqueta|49|174000|0.5710000000000001|0.632|0.652|0.85|4|0.19399999999999998|-10.558|1|0.0302|115.031|4|0.594
Sola|65|209573|0.9209999999999999|0.47100000000000003|0.179|0.0|9|0.10099999999999999|-10.273|1|0.08900000000000001|174.273|4|0.19399999999999998
Nuestro Planeta (feat. Reykon)|52|202754|0.0857|0.871|0.545|0.000499|0|0.0756|-6.466|0|0.0625|96.035|4|0.415
Hijo de Su Madre|61|178009|0.0646|0.8290000000000001|0.606|0.391|5|0.281|-7.093|1|0.149|118.051|4|0.732
Lento|65|169251|0.149|0.8370000000000001|0.649|7.63e-05|11|0.10300000000000001|-5.26|0|0.192|164.002|4|0.948
Dicen|77|220826|0.13699999999999998|0.8170000000000001|0.635|7.85e-06|5|0.245|-5.718999999999999|0|0.138|103.029|4|0.777
BEBE|95|217822|0.172|0.635|0.902|0.0|0|0.125|-3.5589999999999997|1|0.109|102.06299999999999|4|0.28600000000000003
I Like It|95|253390|0.099|0.816|0.726|0.0|5|0.37200000000000005|-3.998|0|0.129|136.048|4|0.65
Zooted (feat. French Montana & Farruko)|74|217652|0.267|0.815|0.626|1.31e-05|6|0.275|-5.138999999999999|1|0.10300000000000001|109.98899999999999|4|0.5710000000000001
Havana - Remix|77|199095|0.39799999999999996|0.7509999999999999|0.579|2.2800000000000002e-05|2|0.133|-4.0360000000000005|1|0.0321|105.031|4|0.349
Pum Pum|45|185743|0.0749|0.736|0.9059999999999999|0.000123|4|0.12|-1.49|0|0.0566|93.01299999999999|4|0.611
Quiero Saber|52|166253|0.00245|0.695|0.818|3.36e-06|6|0.305|-5.532|0|0.0482|102.976|4|0.599
Como|38|234373|0.00323|0.5429999999999999|0.847|0.0|9|0.0551|-3.574|1|0.0659|92.046|4|0.65
Anywhere Contigo|46|193846|0.271|0.841|0.841|2.6000000000000002e-05|9|0.10800000000000001|-4.288|1|0.0633|104.01|4|0.823
No Gratis|44|208800|0.425|0.777|0.546|0.0|7|0.0809|-9.504|1|0.207|147.173|4|0.9520000000000001
Díganle - Tainy Remix|75|211437|0.102|0.84|0.789|0.0|1|0.309|-4.695|0|0.0949|92.01799999999999|4|0.619
Sangria Wine|75|202853|0.18100000000000002|0.831|0.713|0.0|1|0.0572|-3.6460000000000004|0|0.094|132.109|4|0.69
All Day|45|198386|0.0797|0.825|0.48100000000000004|0.0|2|0.239|-8.6|1|0.0396|121.046|4|0.7609999999999999
Just As I Am|53|224413|0.235|0.682|0.7509999999999999|0.0|8|0.11|-5.812|0|0.0675|129.937|4|0.708
Nice & Slow|38|218448|0.006940000000000001|0.799|0.616|0.00237|5|0.28300000000000003|-4.599|0|0.0415|127.023|4|0.6970000000000001
Scooby Doo Pa Pa (Remix)|60|176702|0.196|0.9209999999999999|0.965|0.00020099999999999998|1|0.32299999999999995|-1.396|1|0.17800000000000002|120.902|4|0.507
Don't Werk|39|133120|0.10800000000000001|0.703|0.617|5.610000000000001e-05|7|0.271|-8.732000000000001|1|0.0731|123.15899999999999|4|0.435
1, 2, 3 (feat. Jason Derulo & De La Ghetto)|88|201526|0.165|0.792|0.895|0.0|1|0.0501|-3.112|0|0.0589|94.96799999999999|4|0.794
Pa Mi (with Ozuna)|77|216689|0.0983|0.596|0.557|0.0|1|0.0565|-7.522|0|0.134|133.247|5|0.6609999999999999
Lo Siento|68|226183|0.0705|0.746|0.738|0.0|9|0.043|-3.67|1|0.207|94.80799999999999|4|0.63
Nuestra Cancion Pt. 2 (feat. Arcángel)|46|215003|0.0079|0.493|0.825|0.0|8|0.129|-4.056|1|0.0798|99.866|4|0.621
La Hora Loca|44|175239|0.0429|0.836|0.725|0.0|7|0.10800000000000001|-5.445|0|0.0571|126.035|4|0.76
Dinero - English Version|37|161093|0.00436|0.701|0.779|0.0|11|0.121|-4.657|0|0.0647|119.97399999999999|4|0.451
Pum Pum (feat. Kap G & Play-N-Skillz)|53|182224|0.149|0.871|0.563|0.0|10|0.0568|-8.329|0|0.0795|91.99799999999999|4|0.62
Hora Loca|65|215421|0.0507|0.65|0.8009999999999999|0.0|7|0.0645|-5.407|0|0.0723|166.16|4|0.74
Better With You|68|196018|0.265|0.784|0.43700000000000006|6.979999999999999e-05|5|0.126|-7.867999999999999|1|0.0509|90.00299999999999|4|0.47
NIGHTS LIKE THESE|59|204453|0.133|0.494|0.7290000000000001|0.0|2|0.14300000000000002|-4.934|1|0.161|78.833|4|0.42100000000000004
Alright|43|229038|0.0199|0.561|0.58|0.0|5|0.0619|-5.612|1|0.0414|84.98|4|0.294
Insecure|53|191906|0.369|0.483|0.685|0.0|10|0.0817|-3.2319999999999998|0|0.174|185.502|4|0.546
Si Una Vez - (If I Once)[Spanglish Version]|54|237860|0.0762|0.62|0.823|3.13e-05|5|0.11199999999999999|-2.436|1|0.0567|175.921|4|0.40399999999999997
Finesse (Remix) [feat. Cardi B]|84|217288|0.0185|0.7040000000000001|0.8590000000000001|0.0|5|0.0215|-4.877|0|0.0996|105.115|4|0.9259999999999999
Belong To U|44|202574|0.586|0.633|0.765|6.890000000000001e-05|1|0.0966|-5.732|1|0.0474|100.934|4|0.489
Sunny Daze|40|167823|0.569|0.853|0.7140000000000001|0.0101|7|0.0716|-6.1770000000000005|1|0.0767|92.375|4|0.836
Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)|41|241135|0.0652|0.8|0.8370000000000001|4.52e-05|7|0.0699|-4.488|1|0.099|105.02600000000001|4|0.813
Island|37|194011|0.11800000000000001|0.743|0.7929999999999999|6.07e-05|2|0.22699999999999998|-5.032|0|0.0546|109.921|4|0.434
Crazy In Love|79|236133|0.00249|0.6459999999999999|0.77|0.0|2|0.0715|-6.596|0|0.226|99.165|4|0.6809999999999999
Rock Your Body|74|267266|0.20199999999999999|0.8909999999999999|0.7140000000000001|0.000234|4|0.0521|-6.055|0|0.14|100.97200000000001|4|0.818
Beautiful Girls|10|241933|0.159|0.745|0.6659999999999999|0.0|9|0.302|-5.899|1|0.0566|129.995|4|0.708
Toxic|60|198813|0.0279|0.774|0.847|0.0183|5|0.24100000000000002|-3.925|0|0.121|143.011|4|0.9229999999999999
Michael Jackson x Mark Ronson: Diamonds are Invincible|70|300026|0.342|0.672|0.8320000000000001|0.00042800000000000005|11|0.242|-2.388|0|0.342|117.29799999999999|4|0.5489999999999999
Yeah!|79|250373|0.0183|0.894|0.7909999999999999|0.0|2|0.0388|-4.699|1|0.11199999999999999|105.01799999999999|4|0.583
Live Your Life (feat. Rihanna)|76|338853|0.071|0.375|0.862|0.0|11|0.21100000000000002|-3.363|0|0.255|159.841|4|0.478
Hips Don't Lie|84|218093|0.284|0.778|0.8240000000000001|0.0|10|0.405|-5.892|0|0.0712|100.024|4|0.7559999999999999
Hey, Soul Sister|77|216666|0.217|0.675|0.885|0.0|1|0.086|-4.4319999999999995|0|0.0436|97.03|4|0.768
Pumped Up Kicks|84|239600|0.145|0.733|0.71|0.115|5|0.0956|-5.849|0|0.0292|127.975|4|0.965
Love Never Felt so Good|74|246026|0.132|0.775|0.7190000000000001|1.79e-06|7|0.0662|-6.212000000000001|0|0.0435|117.51299999999999|4|0.7120000000000001
Hall of Fame|73|202533|0.0653|0.42100000000000004|0.873|0.0|10|0.12300000000000001|-4.343|1|0.0565|84.803|4|0.63
All of Me|85|269560|0.922|0.42200000000000004|0.264|0.0|8|0.132|-7.064|1|0.0322|119.93|4|0.331
Drops of Jupiter|78|259933|0.154|0.46799999999999997|0.64|0.0|0|0.154|-5.862|1|0.0275|79.297|4|0.499
We Can't Stop|78|231240|0.00882|0.613|0.622|0.0|1|0.37|-5.794|0|0.0334|80.003|4|0.484
Fighter|69|245960|0.235|0.435|0.92|0.00035299999999999996|4|0.552|-1.357|0|0.201|188.899|4|0.45
Since U Been Gone|75|188960|0.00165|0.662|0.741|0.0303|0|0.114|-5.406000000000001|1|0.0334|131.0|4|0.40399999999999997
Hey Ya! - Radio Mix / Club Mix|76|235213|0.10300000000000001|0.728|0.9740000000000001|0.000532|4|0.175|-2.261|0|0.0665|79.52600000000001|4|0.965
TiK ToK|71|199693|0.0746|0.755|0.8320000000000001|1.27e-06|2|0.29100000000000004|-2.741|0|0.11599999999999999|120.03200000000001|4|0.735
Look At Me Now|71|223933|0.0439|0.764|0.6940000000000001|3.67e-06|11|0.18|-5.745|0|0.18899999999999997|146.075|4|0.581
SexyBack|77|242733|0.0584|0.9670000000000001|0.583|0.0|7|0.0519|-5.562|0|0.0789|117.0|4|0.9640000000000001
With You|69|252160|0.14300000000000002|0.659|0.696|0.0|3|0.13|-4.291|1|0.071|86.001|4|0.665
Breakeven|76|261426|0.17300000000000001|0.63|0.698|0.0|10|0.0789|-4.51|1|0.0244|94.023|4|0.529
I Know You Want Me (Calle Ocho)|65|237120|0.0142|0.8240000000000001|0.743|2.12e-05|2|0.237|-5.995|1|0.141|127.046|4|0.804
Bye Bye Bye|73|200400|0.031|0.61|0.9259999999999999|0.0012|8|0.0821|-4.843|0|0.0479|172.638|4|0.861
Complicated|77|244506|0.0572|0.585|0.7759999999999999|7.74e-06|5|0.3|-5.898|1|0.0459|77.987|4|0.42700000000000005
Let Me Love You|80|256733|0.235|0.6559999999999999|0.578|0.0|7|0.11800000000000001|-8.97|0|0.0922|94.514|4|0.556
Beautiful|73|238560|0.578|0.457|0.573|3.05e-06|5|0.114|-3.866|0|0.0275|76.193|4|0.0992
Raise Your Glass|54|203306|0.00611|0.701|0.7|0.0|7|0.0295|-4.934|1|0.0876|122.035|4|0.625
Timber|75|204160|0.0295|0.581|0.963|0.0|11|0.139|-4.087|1|0.0981|129.99200000000002|4|0.7879999999999999
What Makes You Beautiful|69|198053|0.00761|0.7290000000000001|0.7709999999999999|0.0|4|0.087|-2.451|1|0.0725|125.01100000000001|4|0.873
No One|79|253813|0.03|0.649|0.552|6.47e-06|1|0.111|-5.419|0|0.0292|89.969|4|0.158
Sk8er Boi|67|204000|6.790000000000001e-05|0.48700000000000004|0.9|0.0|0|0.358|-4.417|1|0.0482|149.937|4|0.484
Womanizer|76|224400|0.073|0.7240000000000001|0.695|0.0|11|0.0889|-5.226|1|0.0622|139.0|4|0.235
Give Me Everything|75|252306|0.192|0.6709999999999999|0.9390000000000001|0.0|8|0.298|-3.2060000000000004|1|0.161|129.023|4|0.529
Single Ladies (Put a Ring on It)|72|193213|0.0383|0.426|0.584|0.0|1|0.188|-5.292999999999999|1|0.29600000000000004|193.437|4|0.272
Bleeding Love|81|262466|0.188|0.638|0.6559999999999999|0.0|5|0.146|-5.886|1|0.0357|104.036|4|0.225
Lose My Breath|63|242013|0.00727|0.8140000000000001|0.899|0.21899999999999997|1|0.0979|-5.957999999999999|1|0.0637|119.01100000000001|4|0.545
Love Song|77|258826|0.0208|0.583|0.7859999999999999|0.0|2|0.188|-3.142|0|0.0301|123.052|4|0.573
Ms. Jackson|78|270506|0.142|0.843|0.805|0.0|4|0.0771|-5.946000000000001|0|0.26899999999999996|94.946|4|0.615
Die Young|72|211920|0.00498|0.711|0.7|0.000125|1|0.215|-4.805|0|0.046|128.001|4|0.8009999999999999
Survivor|62|254040|0.0533|0.524|0.904|0.0|8|0.7759999999999999|-2.0709999999999997|1|0.39799999999999996|161.188|4|0.655
Oops!...I Did It Again|77|211160|0.3|0.7509999999999999|0.8340000000000001|1.77e-05|1|0.355|-5.444|0|0.0437|95.053|4|0.894
Cry Me a River|77|288333|0.575|0.624|0.653|0.0|8|0.10400000000000001|-6.582000000000001|0|0.17600000000000002|73.884|4|0.565
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit|77|248413|0.0426|0.794|0.8109999999999999|1.07e-06|6|0.10099999999999999|-8.966000000000001|0|0.038|116.04700000000001|4|0.862
Whatever You Like|75|249533|0.0161|0.68|0.687|0.0|9|0.261|-6.162000000000001|0|0.0709|150.053|4|0.467
One, Two Step|78|203786|0.042|0.9440000000000001|0.511|0.00107|5|0.0379|-10.96|0|0.161|113.046|4|0.8420000000000001
Unwritten|77|259333|0.00577|0.706|0.8009999999999999|0.0|5|0.0822|-6.332999999999999|1|0.0399|100.01299999999999|4|0.63
Wrecking Ball|74|221360|0.40700000000000003|0.53|0.42200000000000004|0.0|5|0.107|-6.2620000000000005|1|0.0342|119.964|4|0.349
So What|65|215160|0.000304|0.535|0.8859999999999999|2.26e-06|11|0.257|-3.1060000000000003|1|0.045|126.012|4|0.445
Whenever, Wherever|76|196160|0.23600000000000002|0.7929999999999999|0.8320000000000001|1.12e-05|1|0.20199999999999999|-4.862|0|0.0406|107.661|4|0.872
Baby Boy|69|244826|0.0825|0.655|0.488|1.16e-06|1|0.221|-9.17|1|0.22|91.025|4|0.7909999999999999
It's Gonna Be Me|67|192426|0.0407|0.636|0.873|1.27e-06|0|0.0372|-4.672|0|0.071|165.071|4|0.9079999999999999
My Boo|77|223440|0.257|0.662|0.507|0.0|5|0.0465|-8.238|1|0.11800000000000001|86.412|4|0.6759999999999999
Sex on Fire|81|203346|0.00172|0.542|0.905|0.0104|9|0.136|-5.653|1|0.054000000000000006|153.398|4|0.374
Stronger (What Doesn't Kill You)|52|221920|0.0411|0.555|0.9229999999999999|0.0|0|0.11199999999999999|-5.9079999999999995|1|0.0482|116.012|4|0.682
Over My Head (Cable Car)|60|236373|0.0204|0.591|0.6990000000000001|0.0|8|0.0614|-5.221|1|0.0449|116.029|4|0.733
For the First Time|65|252853|0.0328|0.396|0.629|0.0|9|0.183|-4.78|1|0.0287|173.794|4|0.358
Girlfriend|69|216600|0.0007379999999999999|0.56|0.9590000000000001|0.000206|7|0.209|-2.4330000000000003|1|0.102|163.983|4|0.67
Fallin'|76|210200|0.263|0.653|0.609|0.00101|11|0.233|-7.519|0|0.037000000000000005|95.98200000000001|3|0.48200000000000004
Use Somebody|79|230760|0.005520000000000001|0.276|0.715|0.000417|0|0.201|-5.356|1|0.0432|137.028|4|0.17300000000000001
How to Save a Life|83|262533|0.26899999999999996|0.64|0.743|0.0|10|0.10099999999999999|-4.08|1|0.0379|122.035|4|0.361
Not Over You|69|218520|0.255|0.63|0.894|0.0|10|0.18100000000000002|-4.592|1|0.0544|142.05100000000002|4|0.364
Before He Cheats|73|199946|0.271|0.519|0.7490000000000001|0.0|6|0.11900000000000001|-3.318|0|0.0405|147.905|4|0.29
Dirrty (feat. Redman)|72|298853|0.107|0.64|0.889|0.0|2|0.33899999999999997|-3.073|1|0.322|99.931|4|0.436
Caught Up|31|224946|0.0251|0.815|0.8079999999999999|5.37e-06|6|0.12|-4.614|1|0.0511|110.06299999999999|4|0.746
If I Ain't Got You|81|228706|0.603|0.609|0.445|6.77e-06|7|0.10400000000000001|-9.129|1|0.106|118.39299999999999|3|0.166
Wherever You Will Go|67|209360|0.0392|0.551|0.696|0.0|2|0.127|-6.192|1|0.0265|112.024|4|0.354
You Found Me|76|241853|0.0187|0.33799999999999997|0.8029999999999999|0.0|8|0.136|-5.412000000000001|0|0.0413|151.994|4|0.4
Independent Women, Pt. 1|63|221626|0.38799999999999996|0.517|0.598|2.22e-06|6|0.183|-3.7510000000000003|0|0.263|96.93299999999999|4|0.922
Because of You|75|219493|0.254|0.583|0.584|0.0|5|0.12300000000000001|-5.362|0|0.0314|140.039|4|0.136
Get The Party Started|67|191666|0.0012699999999999999|0.8059999999999999|0.902|0.0|11|0.212|-3.387|0|0.0475|128.94299999999998|4|0.961
The Anthem|73|175093|0.006659999999999999|0.494|0.9390000000000001|0.0|1|0.139|-3.127|1|0.126|177.75099999999998|4|0.893
I Don't Want to Be|63|217760|0.007909999999999999|0.423|0.862|0.0|0|0.133|-5.13|0|0.0695|154.746|4|0.462
The Way You Move (feat. Sleepy Brown) - Club Mix|68|234000|0.126|0.871|0.597|0.00011499999999999999|5|0.0638|-4.9319999999999995|0|0.0464|125.999|4|0.635
Better in Time|73|234173|0.512|0.584|0.7|2.4299999999999998e-05|6|0.13|-4.251|1|0.0506|163.953|4|0.5489999999999999
Over You|64|204853|0.017|0.423|0.922|0.0|3|0.102|-2.602|1|0.0411|156.063|4|0.5670000000000001
The Great Escape|67|206520|0.0016600000000000002|0.423|0.94|0.0|1|0.17800000000000002|-4.012|0|0.0635|149.934|4|0.505
Your Body Is a Wonderland|78|249626|0.0206|0.647|0.7290000000000001|0.0489|5|0.134|-6.251|1|0.0236|94.01|4|0.687
Superman (It's Not Easy)|48|222000|0.327|0.521|0.431|0.0|0|0.0986|-9.74|1|0.0293|106.546|4|0.18100000000000002
Vivir Mi Vida|68|251160|0.324|0.65|0.879|0.0|8|0.376|-3.176|1|0.0328|105.015|4|0.899
La Vida Es Un Carnaval|24|275253|0.439|0.82|0.7170000000000001|0.00107|8|0.23600000000000002|-6.191|1|0.0722|104.005|4|0.843
